LSOA Code,Arson and Criminal Damage,Burglary,Drug Offences,Miscellaneous Crimes Against Society,Possession of Weapons,Public Order Offences,Robbery,Theft,Vehicle Offences,Violence Against the Person,Total_crime
E01000181,0.058823529411764705,0.17647058823529413,0.029411764705882353,0.0,0.0,0.058823529411764705,0.058823529411764705,0.29411764705882354,0.2647058823529412,0.058823529411764705,34
E01000182,0.05405405405405406,0.05405405405405406,0.0,0.0,0.0,0.10810810810810811,0.32432432432432434,0.21621621621621623,0.05405405405405406,0.1891891891891892,37
E01000183,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.2222222222222222,9
E01000184,0.14285714285714285,0.23809523809523808,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.3333333333333333,0.23809523809523808,21
E01000185,0.0625,0.0,0.0,0.0,0.0,0.125,0.0,0.0625,0.3125,0.4375,16
E01000186,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,5
E01000187,0.08333333333333333,0.25,0.0,0.0,0.0,0.16666666666666666,0.0,0.08333333333333333,0.0,0.4166666666666667,12
E01000188,0.03571428571428571,0.14285714285714285,0.0,0.03571428571428571,0.0,0.03571428571428571,0.17857142857142858,0.07142857142857142,0.21428571428571427,0.2857142857142857,28
E01000189,0.13636363636363635,0.13636363636363635,0.09090909090909091,0.0,0.0,0.045454545454545456,0.0,0.09090909090909091,0.045454545454545456,0.45454545454545453,22
E01000190,0.2,0.4,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.1,10
E01000191,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,5
E01000192,0.06521739130434782,0.08695652173913043,0.0,0.0,0.0,0.17391304347826086,0.043478260869565216,0.15217391304347827,0.08695652173913043,0.391304347826087,46
